id,name,regimen_line_id,archived,created_by,date_created,date_modified,modified_by
1,ABC-3TC-AZT,1,0,NULL,NULL,NULL,NULL
2,ABC-3TC-DDI,1,0,NULL,NULL,NULL,NULL
3,ABC-3TC-DTG,1,0,NULL,NULL,NULL,NULL
4,ABC-3TC-EFV,1,0,NULL,NULL,NULL,NULL
5,ABC-3TC-LPV/r,1,0,NULL,NULL,NULL,NULL
6,ABC-3TC-LPV/r-DTG,1,0,NULL,NULL,NULL,NULL
7,ABC-3TC-NVP,1,0,NULL,NULL,NULL,NULL
8,ABC-DDI-LPV/r,1,0,NULL,NULL,NULL,NULL
9,ABC-FTC-DTG,2,0,NULL,NULL,NULL,NULL
10,AZT-3TC-ABC,2,0,NULL,NULL,NULL,NULL
11,AZT-3TC-ATV/r,2,0,NULL,NULL,NULL,NULL
12,AZT-3TC-EFV,2,0,NULL,NULL,NULL,NULL
13,AZT-3TC-LPV/r,2,0,NULL,NULL,NULL,NULL
14,AZT-3TC-NVP,2,0,NULL,NULL,NULL,NULL
15,AZT-3TC-TDF,2,0,NULL,NULL,NULL,NULL
16,AZT-TDF-3TC-LPV/r,2,0,NULL,NULL,NULL,NULL
17,AZT-TDF-FTC-LPV/r,2,0,NULL,NULL,NULL,NULL
18,D4T-3TC-EFV,2,0,NULL,NULL,NULL,NULL
19,D4T-3TC-LPV/r,2,0,NULL,NULL,NULL,NULL
20,D4T-3TC-NVP,2,0,NULL,NULL,NULL,NULL
21,DDI-3TC-NVP,2,0,NULL,NULL,NULL,NULL
22,DTG-LPV/r,2,0,NULL,NULL,NULL,NULL
23,TDF-3TC-ATV/r,2,0,NULL,NULL,NULL,NULL
24,TDF-3TC-DTG,2,0,NULL,NULL,NULL,NULL
25,TDF-3TC-EFV,2,0,NULL,NULL,NULL,NULL
26,TDF-3TC-LPV/r,2,0,NULL,NULL,NULL,NULL
27,TDF-3TC-LPV/r-DTG,2,0,NULL,NULL,NULL,NULL
28,TDF-3TC-NVP,2,0,NULL,NULL,NULL,NULL
29,TDF-FTC-ATV/r,2,0,NULL,NULL,NULL,NULL
30,TDF-FTC-DTG,2,0,NULL,NULL,NULL,NULL
31,TDF-FTC-EFV,2,0,NULL,NULL,NULL,NULL
32,TDF-FTC-LPV/r,2,0,NULL,NULL,NULL,NULL
33,TDF-FTC-NVP,2,0,NULL,NULL,NULL,NULL
