id,regimen_id,drug_id,created_by,date_created,date_modified,modified_by,archived
1,1,30,NULL,NULL,NULL,NULL,NULL
2,1,10,NULL,NULL,NULL,NULL,NULL
3,1,53,NULL,NULL,NULL,NULL,NULL
4,2,30,NULL,NULL,NULL,NULL,NULL
5,2,10,NULL,NULL,NULL,NULL,NULL
6,2,18,NULL,NULL,NULL,NULL,NULL
7,3,30,NULL,NULL,NULL,NULL,NULL
8,3,10,NULL,NULL,NULL,NULL,NULL
9,3,47,NULL,NULL,NULL,NULL,NULL
10,4,30,NULL,NULL,NULL,NULL,NULL
11,4,10,NULL,NULL,NULL,NULL,NULL
12,4,23,NULL,NULL,NULL,NULL,NULL
13,5,30,NULL,NULL,NULL,NULL,NULL
14,5,10,NULL,NULL,NULL,NULL,NULL
15,5,27,NULL,NULL,NULL,NULL,NULL
16,6,30,NULL,NULL,NULL,NULL,NULL
17,6,10,NULL,NULL,NULL,NULL,NULL
18,6,27,NULL,NULL,NULL,NULL,NULL
19,6,47,NULL,NULL,NULL,NULL,NULL
20,7,30,NULL,NULL,NULL,NULL,NULL
21,7,10,NULL,NULL,NULL,NULL,NULL
22,7,26,NULL,NULL,NULL,NULL,NULL
23,8,30,NULL,NULL,NULL,NULL,NULL
24,8,18,NULL,NULL,NULL,NULL,NULL
25,8,27,NULL,NULL,NULL,NULL,NULL
26,9,30,NULL,NULL,NULL,NULL,NULL
27,9,41,NULL,NULL,NULL,NULL,NULL
28,9,47,NULL,NULL,NULL,NULL,NULL
29,10,53,NULL,NULL,NULL,NULL,NULL
30,10,10,NULL,NULL,NULL,NULL,NULL
31,11,53,NULL,NULL,NULL,NULL,NULL
32,11,10,NULL,NULL,NULL,NULL,NULL
33,11,38,NULL,NULL,NULL,NULL,NULL
34,12,53,NULL,NULL,NULL,NULL,NULL
35,12,10,NULL,NULL,NULL,NULL,NULL
36,12,23,NULL,NULL,NULL,NULL,NULL
37,13,53,NULL,NULL,NULL,NULL,NULL
38,13,10,NULL,NULL,NULL,NULL,NULL
39,13,27,NULL,NULL,NULL,NULL,NULL
40,14,53,NULL,NULL,NULL,NULL,NULL
41,14,10,NULL,NULL,NULL,NULL,NULL
42,14,26,NULL,NULL,NULL,NULL,NULL
43,15,53,NULL,NULL,NULL,NULL,NULL
44,15,10,NULL,NULL,NULL,NULL,NULL
45,15,49,NULL,NULL,NULL,NULL,NULL
46,16,53,NULL,NULL,NULL,NULL,NULL
47,16,49,NULL,NULL,NULL,NULL,NULL
48,16,10,NULL,NULL,NULL,NULL,NULL
49,16,27,NULL,NULL,NULL,NULL,NULL
50,17,53,NULL,NULL,NULL,NULL,NULL
51,17,49,NULL,NULL,NULL,NULL,NULL
52,17,41,NULL,NULL,NULL,NULL,NULL
53,17,27,NULL,NULL,NULL,NULL,NULL
54,18,31,NULL,NULL,NULL,NULL,NULL
55,18,10,NULL,NULL,NULL,NULL,NULL
56,18,23,NULL,NULL,NULL,NULL,NULL
57,19,31,NULL,NULL,NULL,NULL,NULL
58,19,10,NULL,NULL,NULL,NULL,NULL
59,19,27,NULL,NULL,NULL,NULL,NULL
60,20,31,NULL,NULL,NULL,NULL,NULL
61,20,10,NULL,NULL,NULL,NULL,NULL
62,20,26,NULL,NULL,NULL,NULL,NULL
63,21,18,NULL,NULL,NULL,NULL,NULL
64,21,10,NULL,NULL,NULL,NULL,NULL
65,21,26,NULL,NULL,NULL,NULL,NULL
66,22,47,NULL,NULL,NULL,NULL,NULL
67,22,27,NULL,NULL,NULL,NULL,NULL
68,23,49,NULL,NULL,NULL,NULL,NULL
69,23,10,NULL,NULL,NULL,NULL,NULL
70,23,38,NULL,NULL,NULL,NULL,NULL
71,24,49,NULL,NULL,NULL,NULL,NULL
72,24,10,NULL,NULL,NULL,NULL,NULL
73,24,47,NULL,NULL,NULL,NULL,NULL
74,25,49,NULL,NULL,NULL,NULL,NULL
75,25,10,NULL,NULL,NULL,NULL,NULL
76,25,23,NULL,NULL,NULL,NULL,NULL
77,26,49,NULL,NULL,NULL,NULL,NULL
78,26,10,NULL,NULL,NULL,NULL,NULL
79,26,27,NULL,NULL,NULL,NULL,NULL
80,27,49,NULL,NULL,NULL,NULL,NULL
81,27,10,NULL,NULL,NULL,NULL,NULL
82,27,27,NULL,NULL,NULL,NULL,NULL
83,27,47,NULL,NULL,NULL,NULL,NULL
84,28,49,NULL,NULL,NULL,NULL,NULL
85,28,10,NULL,NULL,NULL,NULL,NULL
86,28,26,NULL,NULL,NULL,NULL,NULL
87,29,49,NULL,NULL,NULL,NULL,NULL
88,29,41,NULL,NULL,NULL,NULL,NULL
89,29,38,NULL,NULL,NULL,NULL,NULL
90,30,49,NULL,NULL,NULL,NULL,NULL
91,30,41,NULL,NULL,NULL,NULL,NULL
92,30,47,NULL,NULL,NULL,NULL,NULL
93,31,49,NULL,NULL,NULL,NULL,NULL
94,31,41,NULL,NULL,NULL,NULL,NULL
95,31,23,NULL,NULL,NULL,NULL,NULL
96,32,49,NULL,NULL,NULL,NULL,NULL
97,32,41,NULL,NULL,NULL,NULL,NULL
98,32,27,NULL,NULL,NULL,NULL,NULL
99,33,49,NULL,NULL,NULL,NULL,NULL
100,33,41,NULL,NULL,NULL,NULL,NULL
101,33,26,NULL,NULL,NULL,NULL,NULL
102,10,30,NULL,NULL,NULL,NULL,NULL
