role_id,permission_id
22,7
22,8
22,9
22,10
22,11
22,12
22,13
22,14
22,15
22,16
22,17
22,18
22,19
22,20
22,21
22,22
22,32
22,33
22,34
22,35
22,36
22,37
22,38
22,39
22,40
22,41
22,42
22,43
22,44
22,45
22,46
22,47
22,48
22,49
22,50
22,51
22,52
22,53
22,54
22,55
22,56
22,57
22,58
22,59
22,60
22,61
22,62
22,63
22,64
22,65
22,66
22,67
22,68
22,69
22,70
22,71
22,72
22,73
22,74
22,75
22,76
22,77
22,78
22,79
22,80
22,81
22,82
22,83
22,84
22,85
22,86
22,87
22,88
22,89
22,90
22,91
22,92
22,93
22,94
22,95
22,96
22,97
22,98
22,99
22,100
22,101
22,102
22,103
22,104
22,105
22,106
22,107
22,108
22,109
22,110
22,111
22,112
22,113
22,114
22,115
22,116
22,117
22,118
22,119
22,120
22,121
22,122
22,123
22,124
22,125
22,126
22,127
22,128
22,129
22,130
22,131
22,132
22,133
22,134
22,135
22,136
22,138
22,139
22,140
22,141
22,142
22,146
22,147
22,148
22,149
22,150
22,151
22,219
22,220
22,221
22,222
22,223
22,224
22,225
22,226
22,227
22,228
22,229
22,230
22,231
22,232
22,233
22,234
22,235
22,236
22,237
22,238
22,239
22,240
22,241
22,242
22,243
22,244
22,245
22,246
22,247
22,248
22,249
22,250
22,251
22,252
22,253
22,254
22,255
22,256
22,257
22,258
22,259
22,260
22,261
22,262
22,263
22,264
22,265
22,266
22,267
22,268
22,269
22,270
22,271
22,272
22,273
22,274
22,275
22,276
22,277
22,278
22,279
22,280
22,281
22,282
22,283
22,284
22,285
22,286
22,287
22,288
22,289
22,290
22,291
22,292
22,293
22,294
22,295
22,296
22,297
22,298
22,299
22,300
22,301
22,302
22,303
22,304
22,305
22,306
22,307
22,308
22,309
22,310
22,311
22,312
22,313
22,314
22,315
22,316
22,317
22,318
22,319
22,320
22,321
22,322
22,323
22,324
22,325
22,326
22,327
22,328
22,329
22,330
22,331
22,332
22,333
22,334
22,335
22,336
22,337
22,338
22,339
22,340
22,341
22,342
22,343
22,344
22,345
22,346
22,347
22,348
22,349
22,350
22,351
22,352
22,353
22,354
22,355
22,356
22,357
22,358
22,359
22,360
22,361
22,362
22,363
22,364
22,365
22,366
22,367
22,368
22,369
22,370
22,371
22,372
22,373
22,374
22,375
22,376
22,377
22,378
22,379
22,380
22,381
22,382
22,383
22,384
22,385
22,386
22,387
22,388
22,389
22,390
22,391
22,392
22,393
22,394
22,395
22,396
22,397
22,398
22,573
22,574
22,575
22,576
